Ad group,Ad group ID
Acura | MDX,99357626786
Mercury | Montego,99357671746
Mercury | Monterey,99357671906
Mercury | Mountaineer,99357671946
Mitsubishi | Eclipse,99357672146
Mitsubishi | Montero,99357672866
Mitsubishi | Outlander Sport,99357672946
Mitsubishi | Raider,99357673106
Mitsubishi | i-Miev,99357673146
Nissan | 370Z Roadster,99357673426
Nissan | Altima,99357673586
Nissan | Cube,99357673666
Nissan | Juke,99357673906
Nissan | LEAF,99357674066
Nissan | NV 3500,99357674346
Nissan | NV1500,99357674626
Nissan | NV200,99357674826
Nissan | NV200 Compact Cargo,99357674866
Nissan | Rogue Select,99357675746
Nissan | Sentra,99357675786
Nissan | Versa,99357676026
Pontiac | G5,99357676266
Pontiac | G6,99357676306
Pontiac | Grand Prix,99357676506
Pontiac | Solstice,99357676706
Pontiac | Torrent,99357676746
Porsche | 911,99357676986
Porsche | Panamera,99357677426
RAM | 1500,99357677466
RAM | 2500,99357677506
RAM | ProMaster 1500,99357677906
RAM | ProMaster 2500,99357677946
Saab | 9-3X,99357678386
Saab | 9-4X,99357678426
Saturn | Aura Hybrid,99357678866
Saturn | Ion,99357678906
Saturn | Outlook,99357678946
Saturn | Sky,99357679146
Scion | FR-S,99357679386
Scion | xD,99357679626
Subaru | B9 Tribeca,99357679826
Subaru | BRZ,99357679866
Subaru | Forester,99357680146
Subaru | Impreza,99357680306
Subaru | Tribeca,99357680586
Suzuki | Equator,99357681026
Suzuki | Grand Vitara,99357681066
Suzuki | SX4 AWD Crossover,99357681306
Suzuki | SX4 Crossover,99357681346
Suzuki | XL7,99357681586
Toyota | 4Runner,99357681746
Toyota | C-HR,99357682026
Toyota | Camry Solara,99357682266
Toyota | Prius,99357682986
Toyota | Prius Hybrid,99357683186
Toyota | Prius Plug In Hybrid,99357683226
Toyota | RAV4 Hybrid,99357683466
Toyota | Venza,99357683906
Volkswagen | CC,99357684146
Volkswagen | Eos,99357684186
Volkswagen | New Beetle,99357684946
Volkswagen | Passat,99357685106
Volkswagen | Phaeton,99357685146
Volkswagen | Touareg,99357685426
Volkswagen | Touareg 2,99357685586
Volvo | S60 T5,99357686306
Volvo | V50,99357686626
Volvo | V60,99357686786
Volvo | V70,99357686866
Volvo | XC70,99357687266
Volvo | XC90,99357687346
Acura | NSX,99357626826
Acura | TL,99357627266
Audi | A4,99357627826
Audi | A5 Cabriolet,99357628226
Audi | A7,99357628466
Audi | Q3,99357628746
Audi | S3,99357629226
Audi | S4 Cabriolet,99357629466
Audi | S5 Cabriolet,99357629666
Audi | S8,99357629906
Audi | TT,99357630146
Audi | TT Roadster,99357630186
Audi | TTS,99357630386
BMW | 1-series,99357630426
BMW | 435i,99357630866
BMW | 750i,99357631426
BMW | M235i,99357631586
BMW | X4,99357631906
BMW | i3,99357632386
Buick | Cascada,99357632586
Buick | Encore,99357632786
Buick | Envision,99357632826
Buick | Rendezvous,99357633266
Cadillac | ATS,99357633506
